"row"
"('19995', 'Avatar', '237000000', '2787965087', '150.437577', 'Action', '162.0', 'Avatar', '28')"
"('19995', 'Avatar', '237000000', '2787965087', '150.437577', 'Adventure', '162.0', 'Avatar', '12')"
"('19995', 'Avatar', '237000000', '2787965087', '150.437577', 'Fantasy', '162.0', 'Avatar', '14')"
"('19995', 'Avatar', '237000000', '2787965087', '150.437577', 'Science Fiction', '162.0', 'Avatar', '878')"
"('285', ""Pirates of the Caribbean: At World's End"", '300000000', '961000000', '139.082615', 'Adventure', '169.0', ""Pirates of the Caribbean: At World's End"", '12')"
"('285', ""Pirates of the Caribbean: At World's End"", '300000000', '961000000', '139.082615', 'Fantasy', '169.0', ""Pirates of the Caribbean: At World's End"", '14')"
"('285', ""Pirates of the Caribbean: At World's End"", '300000000', '961000000', '139.082615', 'Action', '169.0', ""Pirates of the Caribbean: At World's End"", '28')"
"('206647', 'Spectre', '245000000', '880674609', '107.376788', 'Action', '148.0', 'Spectre', '28')"
"('206647', 'Spectre', '245000000', '880674609', '107.376788', 'Adventure', '148.0', 'Spectre', '12')"
"('206647', 'Spectre', '245000000', '880674609', '107.376788', 'Crime', '148.0', 'Spectre', '80')"
"('49026', 'The Dark Knight Rises', '250000000', '1084939099', '112.31295', 'Action', '165.0', 'The Dark Knight Rises', '28')"
"('49026', 'The Dark Knight Rises', '250000000', '1084939099', '112.31295', 'Crime', '165.0', 'The Dark Knight Rises', '80')"
"('49026', 'The Dark Knight Rises', '250000000', '1084939099', '112.31295', 'Drama', '165.0', 'The Dark Knight Rises', '18')"
"('49026', 'The Dark Knight Rises', '250000000', '1084939099', '112.31295', 'Thriller', '165.0', 'The Dark Knight Rises', '53')"
"('49529', 'John Carter', '260000000', '284139100', '43.926995', 'Action', '132.0', 'John Carter', '28')"
"('49529', 'John Carter', '260000000', '284139100', '43.926995', 'Adventure', '132.0', 'John Carter', '12')"
"('49529', 'John Carter', '260000000', '284139100', '43.926995', 'Science Fiction', '132.0', 'John Carter', '878')"
"('559', 'Spider-Man 3', '258000000', '890871626', '115.699814', 'Fantasy', '139.0', 'Spider-Man 3', '14')"
"('559', 'Spider-Man 3', '258000000', '890871626', '115.699814', 'Action', '139.0', 'Spider-Man 3', '28')"
"('559', 'Spider-Man 3', '258000000', '890871626', '115.699814', 'Adventure', '139.0', 'Spider-Man 3', '12')"
"('38757', 'Tangled', '260000000', '591794936', '48.681969', 'Animation', '100.0', 'Tangled', '16')"
"('38757', 'Tangled', '260000000', '591794936', '48.681969', 'Family', '100.0', 'Tangled', '10751')"
"('99861', 'Avengers: Age of Ultron', '280000000', '1405403694', '134.279229', 'Action', '141.0', 'Avengers: Age of Ultron', '28')"
"('99861', 'Avengers: Age of Ultron', '280000000', '1405403694', '134.279229', 'Adventure', '141.0', 'Avengers: Age of Ultron', '12')"
"('99861', 'Avengers: Age of Ultron', '280000000', '1405403694', '134.279229', 'Science Fiction', '141.0', 'Avengers: Age of Ultron', '878')"
"('767', 'Harry Potter and the Half-Blood Prince', '250000000', '933959197', '98.885637', 'Adventure', '153.0', 'Harry Potter and the Half-Blood Prince', '12')"
"('767', 'Harry Potter and the Half-Blood Prince', '250000000', '933959197', '98.885637', 'Fantasy', '153.0', 'Harry Potter and the Half-Blood Prince', '14')"
"('767', 'Harry Potter and the Half-Blood Prince', '250000000', '933959197', '98.885637', 'Family', '153.0', 'Harry Potter and the Half-Blood Prince', '10751')"
"('209112', 'Batman v Superman: Dawn of Justice', '250000000', '873260194', '155.790452', 'Action', '151.0', 'Batman v Superman: Dawn of Justice', '28')"
"('209112', 'Batman v Superman: Dawn of Justice', '250000000', '873260194', '155.790452', 'Adventure', '151.0', 'Batman v Superman: Dawn of Justice', '12')"
"('209112', 'Batman v Superman: Dawn of Justice', '250000000', '873260194', '155.790452', 'Fantasy', '151.0', 'Batman v Superman: Dawn of Justice', '14')"
"('1452', 'Superman Returns', '270000000', '391081192', '57.925623', 'Adventure', '154.0', 'Superman Returns', '12')"
"('1452', 'Superman Returns', '270000000', '391081192', '57.925623', 'Fantasy', '154.0', 'Superman Returns', '14')"
"('1452', 'Superman Returns', '270000000', '391081192', '57.925623', 'Action', '154.0', 'Superman Returns', '28')"
"('1452', 'Superman Returns', '270000000', '391081192', '57.925623', 'Science Fiction', '154.0', 'Superman Returns', '878')"
"('10764', 'Quantum of Solace', '200000000', '586090727', '107.928811', 'Adventure', '106.0', 'Quantum of Solace', '12')"
"('10764', 'Quantum of Solace', '200000000', '586090727', '107.928811', 'Action', '106.0', 'Quantum of Solace', '28')"
"('10764', 'Quantum of Solace', '200000000', '586090727', '107.928811', 'Thriller', '106.0', 'Quantum of Solace', '53')"
"('10764', 'Quantum of Solace', '200000000', '586090727', '107.928811', 'Crime', '106.0', 'Quantum of Solace', '80')"
"('58', ""Pirates of the Caribbean: Dead Man's Chest"", '200000000', '1065659812', '145.847379', 'Adventure', '151.0', ""Pirates of the Caribbean: Dead Man's Chest"", '12')"
"('58', ""Pirates of the Caribbean: Dead Man's Chest"", '200000000', '1065659812', '145.847379', 'Fantasy', '151.0', ""Pirates of the Caribbean: Dead Man's Chest"", '14')"
