id,original_title,runtime,title,genre_id,genre_name
19995,Avatar,162.0,Avatar,28,Action
19995,Avatar,162.0,Avatar,12,Adventure
19995,Avatar,162.0,Avatar,14,Fantasy
19995,Avatar,162.0,Avatar,878,Science Fiction
285,Pirates of the Caribbean: At World's End,169.0,Pirates of the Caribbean: At World's End,12,Adventure
285,Pirates of the Caribbean: At World's End,169.0,Pirates of the Caribbean: At World's End,14,Fantasy
285,Pirates of the Caribbean: At World's End,169.0,Pirates of the Caribbean: At World's End,28,Action
206647,Spectre,148.0,Spectre,28,Action
206647,Spectre,148.0,Spectre,12,Adventure
206647,Spectre,148.0,Spectre,80,Crime
49026,The Dark Knight Rises,165.0,The Dark Knight Rises,28,Action
49026,The Dark Knight Rises,165.0,The Dark Knight Rises,80,Crime
49026,The Dark Knight Rises,165.0,The Dark Knight Rises,18,Drama
49026,The Dark Knight Rises,165.0,The Dark Knight Rises,53,Thriller
49529,John Carter,132.0,John Carter,28,Action
49529,John Carter,132.0,John Carter,12,Adventure
49529,John Carter,132.0,John Carter,878,Science Fiction
559,Spider-Man 3,139.0,Spider-Man 3,14,Fantasy
559,Spider-Man 3,139.0,Spider-Man 3,28,Action
559,Spider-Man 3,139.0,Spider-Man 3,12,Adventure
38757,Tangled,100.0,Tangled,16,Animation
38757,Tangled,100.0,Tangled,10751,Family
99861,Avengers: Age of Ultron,141.0,Avengers: Age of Ultron,28,Action
99861,Avengers: Age of Ultron,141.0,Avengers: Age of Ultron,12,Adventure
99861,Avengers: Age of Ultron,141.0,Avengers: Age of Ultron,878,Science Fiction
767,Harry Potter and the Half-Blood Prince,153.0,Harry Potter and the Half-Blood Prince,12,Adventure
767,Harry Potter and the Half-Blood Prince,153.0,Harry Potter and the Half-Blood Prince,14,Fantasy
767,Harry Potter and the Half-Blood Prince,153.0,Harry Potter and the Half-Blood Prince,10751,Family
209112,Batman v Superman: Dawn of Justice,151.0,Batman v Superman: Dawn of Justice,28,Action
209112,Batman v Superman: Dawn of Justice,151.0,Batman v Superman: Dawn of Justice,12,Adventure
209112,Batman v Superman: Dawn of Justice,151.0,Batman v Superman: Dawn of Justice,14,Fantasy
1452,Superman Returns,154.0,Superman Returns,12,Adventure
1452,Superman Returns,154.0,Superman Returns,14,Fantasy
1452,Superman Returns,154.0,Superman Returns,28,Action
1452,Superman Returns,154.0,Superman Returns,878,Science Fiction
10764,Quantum of Solace,106.0,Quantum of Solace,12,Adventure
10764,Quantum of Solace,106.0,Quantum of Solace,28,Action
10764,Quantum of Solace,106.0,Quantum of Solace,53,Thriller
10764,Quantum of Solace,106.0,Quantum of Solace,80,Crime
58,Pirates of the Caribbean: Dead Man's Chest,151.0,Pirates of the Caribbean: Dead Man's Chest,12,Adventure
58,Pirates of the Caribbean: Dead Man's Chest,151.0,Pirates of the Caribbean: Dead Man's Chest,14,Fantasy
58,Pirates of the Caribbean: Dead Man's Chest,151.0,Pirates of the Caribbean: Dead Man's Chest,28,Action
57201,The Lone Ranger,149.0,The Lone Ranger,28,Action
57201,The Lone Ranger,149.0,The Lone Ranger,12,Adventure
57201,The Lone Ranger,149.0,The Lone Ranger,37,Western
49521,Man of Steel,143.0,Man of Steel,28,Action
49521,Man of Steel,143.0,Man of Steel,12,Adventure
49521,Man of Steel,143.0,Man of Steel,14,Fantasy
49521,Man of Steel,143.0,Man of Steel,878,Science Fiction
